,dt,count
1147,2015-02-21,3
1148,2015-02-22,3
1149,2015-02-23,3
1150,2015-02-24,3
1151,2015-02-25,3
1152,2015-02-26,3
1153,2015-02-27,3
1154,2015-02-28,3
1155,2015-03-01,3
1156,2015-03-02,3
1157,2015-03-03,3
1158,2015-03-04,3
1159,2015-03-05,3
1160,2015-03-06,3
1161,2015-03-07,3
1162,2015-03-08,3
1163,2015-03-09,3
1164,2015-03-10,3
1165,2015-03-11,3
1166,2015-03-12,3
1167,2015-03-13,3
1168,2015-03-14,3
1169,2015-03-15,3
1170,2015-03-16,3
1171,2015-03-17,3
1172,2015-03-18,3
1173,2015-03-19,3
1174,2015-03-20,3
1175,2015-03-21,3
1176,2015-03-22,3
1177,2015-03-23,3
1178,2015-03-24,3
1179,2015-03-25,3
1180,2015-03-26,3
1181,2015-03-27,3
1182,2015-03-28,3
1183,2015-03-29,3
1184,2015-03-30,3
1185,2015-03-31,3
1186,2015-04-01,3
1187,2015-04-02,3
1188,2015-04-03,3
1189,2015-04-04,3
1190,2015-04-05,3
1191,2015-04-06,3
1192,2015-04-07,3
1193,2015-04-08,3
1194,2015-04-09,3
1195,2015-04-10,3
1196,2015-04-11,3
1197,2015-04-12,3
1198,2015-04-13,3
1199,2015-04-14,3
1200,2015-04-15,3
1201,2015-04-16,3
1202,2015-04-17,3
1203,2015-04-18,3
1204,2015-04-19,3
1205,2015-04-20,3
1206,2015-04-21,3
1207,2015-04-22,3
1208,2015-04-23,3
1209,2015-04-24,3
1210,2015-04-25,3
1211,2015-04-26,3
1212,2015-04-27,3
1213,2015-04-28,3
1214,2015-04-29,3
1215,2015-04-30,3
1216,2015-05-01,3
1217,2015-05-02,3
1218,2015-05-03,3
1219,2015-05-04,3
1220,2015-05-05,3
1221,2015-05-06,3
1222,2015-05-07,3
1223,2015-05-08,3
1224,2015-05-09,3
1225,2015-05-10,3
1226,2015-05-11,3
1227,2015-05-12,3
1228,2015-05-13,3
1229,2015-05-14,3
1230,2015-05-15,3
1231,2015-05-16,3
1232,2015-05-17,3
1233,2015-05-18,3
1234,2015-05-19,3
1235,2015-05-20,3
1236,2015-05-21,3
1237,2015-05-22,3
1238,2015-05-23,3
1239,2015-05-24,3
1240,2015-05-25,3
1241,2015-05-26,3
1242,2015-05-27,3
1243,2015-05-28,3
1244,2015-05-29,3
1245,2015-05-30,3
1246,2015-05-31,3
1247,2015-06-01,3
1248,2015-06-02,3
1249,2015-06-03,3
1250,2015-06-04,3
1251,2015-06-05,3
1252,2015-06-06,3
1253,2015-06-07,3
1254,2015-06-08,3
1255,2015-06-09,3
1256,2015-06-10,3
1257,2015-06-11,3
1258,2015-06-12,3
1259,2015-06-13,3
1260,2015-06-14,3
1261,2015-06-15,3
1262,2015-06-16,3
1263,2015-06-17,3
1264,2015-06-18,3
1265,2015-06-19,3
1266,2015-06-20,3
1267,2015-06-21,3
1268,2015-06-22,3
1269,2015-06-23,3
1270,2015-06-24,3
1271,2015-06-25,3
1272,2015-06-26,3
1273,2015-06-27,3
1274,2015-06-28,3
1275,2015-06-29,3
1276,2015-06-30,3
1277,2015-07-01,5
1278,2015-07-02,5
1279,2015-07-03,5
1280,2015-07-04,5
1281,2015-07-05,5
1282,2015-07-06,5
1283,2015-07-07,5
1284,2015-07-08,5
1285,2015-07-09,5
1286,2015-07-10,5
1287,2015-07-11,5
1288,2015-07-12,5
1289,2015-07-13,5
1290,2015-07-14,5
1291,2015-07-15,5
1292,2015-07-16,5
1293,2015-07-17,5
1294,2015-07-18,5
1295,2015-07-19,5
1296,2015-07-20,5
1297,2015-07-21,5
1298,2015-07-22,5
1299,2015-07-23,5
1300,2015-07-24,5
1301,2015-07-25,5
1302,2015-07-26,5
1303,2015-07-27,5
1304,2015-07-28,5
1305,2015-07-29,5
1306,2015-07-30,5
1307,2015-07-31,5
1308,2015-08-01,5
1309,2015-08-02,5
1310,2015-08-03,5
1311,2015-08-04,5
1312,2015-08-05,5
1313,2015-08-06,5
1314,2015-08-07,5
1315,2015-08-08,5
1316,2015-08-09,5
1317,2015-08-10,5
1318,2015-08-11,5
1319,2015-08-12,5
1320,2015-08-13,5
1321,2015-08-14,5
1322,2015-08-15,5
1323,2015-08-16,5
1324,2015-08-17,5
1325,2015-08-18,5
1326,2015-08-19,5
1327,2015-08-20,5
1328,2015-08-21,5
1329,2015-08-22,5
1330,2015-08-23,5
1331,2015-08-24,5
1332,2015-08-25,5
1333,2015-08-26,5
1334,2015-08-27,5
1335,2015-08-28,5
1336,2015-08-29,5
1337,2015-08-30,5
1338,2015-08-31,5
1339,2015-09-01,5
1340,2015-09-02,5
1341,2015-09-03,5
1342,2015-09-04,5
1343,2015-09-05,5
1344,2015-09-06,5
1345,2015-09-07,5
1346,2015-09-08,5
1347,2015-09-09,5
1348,2015-09-10,5
1349,2015-09-11,5
1350,2015-09-12,5
1351,2015-09-13,5
1352,2015-09-14,5
1353,2015-09-15,5
1354,2015-09-16,5
1355,2015-09-17,5
1356,2015-09-18,5
1357,2015-09-19,5
1358,2015-09-20,5
1359,2015-09-21,5
1360,2015-09-22,5
1361,2015-09-23,5
1362,2015-09-24,5
1363,2015-09-25,5
1364,2015-09-26,5
1365,2015-09-27,5
1366,2015-09-28,5
1367,2015-09-29,5
1368,2015-09-30,5
1369,2015-10-01,5
1370,2015-10-02,5
1371,2015-10-03,5
1372,2015-10-04,5
1373,2015-10-05,5
1374,2015-10-06,5
1375,2015-10-07,5
1376,2015-10-08,5
1377,2015-10-09,5
1378,2015-10-10,5
1379,2015-10-11,5
1380,2015-10-12,5
1381,2015-10-13,5
1382,2015-10-14,5
1383,2015-10-15,5
1384,2015-10-16,5
1385,2015-10-17,5
1386,2015-10-18,5
1387,2015-10-19,5
1388,2015-10-20,5
1389,2015-10-21,5
1390,2015-10-22,5
1391,2015-10-23,5
1392,2015-10-24,5
1393,2015-10-25,5
1394,2015-10-26,5
1395,2015-10-27,5
1396,2015-10-28,5
1397,2015-10-29,5
1398,2015-10-30,5
1399,2015-10-31,5
1400,2015-11-01,5
1401,2015-11-02,5
1402,2015-11-03,5
1403,2015-11-04,5
1404,2015-11-05,5
1405,2015-11-06,5
1406,2015-11-07,5
1407,2015-11-08,5
1408,2015-11-09,5
1409,2015-11-10,5
1410,2015-11-11,5
1411,2015-11-12,5
1412,2015-11-13,5
1413,2015-11-14,5
1414,2015-11-15,5
1415,2015-11-16,5
1416,2015-11-17,5
1417,2015-11-18,5
1418,2015-11-19,5
1419,2015-11-20,5
1420,2015-11-21,5
1421,2015-11-22,5
1422,2015-11-23,5
1423,2015-11-24,5
1424,2015-11-25,5
1425,2015-11-26,5
1426,2015-11-27,5
1427,2015-11-28,5
1428,2015-11-29,5
1429,2015-11-30,5
1430,2015-12-01,5
1431,2015-12-02,5
1432,2015-12-03,5
1433,2015-12-04,5
1434,2015-12-05,5
1435,2015-12-06,5
1436,2015-12-07,5
1437,2015-12-08,5
1438,2015-12-09,5
1439,2015-12-10,5
1440,2015-12-11,5
1441,2015-12-12,5
1442,2015-12-13,5
1443,2015-12-14,5
1444,2015-12-15,5
1445,2015-12-16,5
1446,2015-12-17,5
1447,2015-12-18,5
1448,2015-12-19,5
1449,2015-12-20,5
1450,2015-12-21,5
1451,2015-12-22,5
1452,2015-12-23,5
1453,2015-12-24,5
1454,2015-12-25,5
1455,2015-12-26,5
1456,2015-12-27,5
1457,2015-12-28,5
1458,2015-12-29,5
1459,2015-12-30,5
1460,2015-12-31,5
1461,2016-01-01,8
1462,2016-01-02,8
1463,2016-01-03,8
1464,2016-01-04,8
1465,2016-01-05,8
1466,2016-01-06,8
1467,2016-01-07,8
1468,2016-01-08,8
1469,2016-01-09,8
1470,2016-01-10,8
1471,2016-01-11,8
1472,2016-01-12,8
1473,2016-01-13,8
1474,2016-01-14,8
1475,2016-01-15,8
1476,2016-01-16,8
1477,2016-01-17,8
1478,2016-01-18,8
1479,2016-01-19,8
1480,2016-01-20,8
1481,2016-01-21,8
1482,2016-01-22,8
1483,2016-01-23,8
1484,2016-01-24,8
1485,2016-01-25,8
1486,2016-01-26,8
1487,2016-01-27,8
1488,2016-01-28,8
1489,2016-01-29,8
1490,2016-01-30,8
1491,2016-01-31,8
1492,2016-02-01,8
1493,2016-02-02,8
1494,2016-02-03,8
1495,2016-02-04,8
1496,2016-02-05,8
1497,2016-02-06,8
1498,2016-02-07,8
1499,2016-02-08,8
1500,2016-02-09,8
1501,2016-02-10,8
1502,2016-02-11,8
1503,2016-02-12,8
1504,2016-02-13,8
1505,2016-02-14,8
1506,2016-02-15,8
1507,2016-02-16,8
1508,2016-02-17,8
1509,2016-02-18,8
1510,2016-02-19,8
1511,2016-02-20,8
1512,2016-02-21,8
1513,2016-02-22,8
1514,2016-02-23,8
1515,2016-02-24,8
1516,2016-02-25,8
1517,2016-02-26,8
1518,2016-02-27,8
1519,2016-02-28,8
1520,2016-02-29,8
1521,2016-03-01,8
1522,2016-03-02,8
1523,2016-03-03,8
1524,2016-03-04,8
1525,2016-03-05,8
1526,2016-03-06,8
1527,2016-03-07,8
1528,2016-03-08,8
1529,2016-03-09,8
1530,2016-03-10,8
1531,2016-03-11,8
1532,2016-03-12,8
1533,2016-03-13,8
1534,2016-03-14,8
1535,2016-03-15,8
1536,2016-03-16,8
1537,2016-03-17,8
1538,2016-03-18,8
1539,2016-03-19,8
1540,2016-03-20,8
1541,2016-03-21,8
1542,2016-03-22,8
1543,2016-03-23,8
1544,2016-03-24,8
1545,2016-03-25,8
1546,2016-03-26,8
1547,2016-03-27,8
1548,2016-03-28,8
1549,2016-03-29,8
1550,2016-03-30,8
1551,2016-03-31,8
1552,2016-04-01,7
1553,2016-04-02,7
1554,2016-04-03,7
1555,2016-04-04,7
