"","city","county_name","lat","lng","zips"
"407","Meadow Valley","Plumas",39.9323,-121.0831,"95956 95971"
"408","Chino Hills","San Bernardino",33.9508,-117.7254,"91709"
"409","Pacifica","San Mateo",37.6112,-122.4781,"94044"
"410","Cowell","Contra Costa",37.9527,-121.9894,"94521"
"411","Hamilton Branch","Plumas",40.2772,-121.0961,"96137"
"412","Columbia","Tuolumne",38.0333,-120.4097,"95310 95370"
"413","El Sobrante","Contra Costa",37.9723,-122.2959,"94803 94820"
"414","Hilt","Siskiyou",41.9949,-122.6234,"96044"
"415","Signal Hill","Los Angeles",33.8029,-118.1681,"90755"
"416","Granite Hills","San Diego",32.8033,-116.9056,"92021 92019"
"417","Santa Maria","Santa Barbara",34.9334,-120.4433,"93454 93455 93458 93456"
